891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,218,100
783461,3,65,1,58,2,45,125,60,137,68,126,100,57,77,4,60
456372,218,69,1,67,2,94,3,60,137,32,126,100,54,36,16,98
765321,565,82,46,56,1,84,2,99,3,52,5,45,100,90,10,86
919222,13,82,27,56,218,84,220,99,1,52,3,45,11,90,2,86
313223,13,21,2,56,218,33,3,67,1,87,3,45,11,90,1,86
563721,1,21,2,56,3,33,42,67,52,87,137,44,11,34,12,76
563721,2,100,1,100,3,100,4,99,5,100,10,100,27,99,13,98
909876,48,50,137,60,218,100,1,90,27,55,4,90,3,45,2,90
112132,81,98,565,80,569,55,3,60,46,45,5,90,1,88,2,34
